TransactionID,ClientID,Date,Amount,Salary
T0065,C057,2024-01-01,30910,57000
T0098,C036,2024-01-01,134080,75000
T0269,C079,2024-01-01,46930,48000
T0396,C066,2024-01-01,48170,62000
T0498,C035,2024-01-01,21870,39000
T0077,C028,2024-01-02,36220,54000
T0139,C072,2024-01-02,182930,68000
T0256,C002,2024-01-02,10100,59000
T0346,C099,2024-01-02,78450,64000
T0114,C033,2024-01-03,20460,31000
T0246,C061,2024-01-03,15800,72000
T0388,C092,2024-01-03,6930,60000
T0240,C005,2024-01-04,55010,54000
T0423,C007,2024-01-04,,58000
T0459,C040,2024-01-04,27360,43000
T0025,C024,2024-01-05,29740,51000
T0124,C071,2024-01-05,45290,69000
T0219,C048,2024-01-05,2270,81000
T0237,C068,2024-01-05,21130,55000
T0253,C069,2024-01-05,145080,74000
T0354,C006,2024-01-05,8170,37000
T0436,C065,2024-01-05,68200,62000
T0437,C009,2024-01-05,8360,66000
T0071,C037,2024-01-06,12440,58000
T0227,C009,2024-01-06,7270,65000
T0336,C071,2024-01-06,112570,68000
T0347,C098,2024-01-06,18110,40000
T0473,C039,2024-01-06,52000,84500
T0272,C089,2024-01-07,25280,62000
T0234,C092,2024-01-08,10860,60000
T0251,C049,2024-01-08,15070,83000
T0276,C068,2024-01-08,29490,70000
T0147,C059,2024-01-09,306100,92000
T0178,C008,2024-01-09,12130,47000
T0211,C039,2024-01-09,14620,89000
T0355,C087,2024-01-09,10270,98000
T0408,C086,2024-01-09,291170,66000
T0041,C060,2024-01-10,27940,56000
T0066,C071,2024-01-10,40070,61000
T0094,C049,2024-01-10,84510,83000
T0243,C035,2024-01-10,24510,41000
T0274,C003,2024-01-10,77300,71000
T0282,C074,2024-01-10,47030,74000
T0379,C074,2024-01-10,57840,75000
T0448,C014,2024-01-10,36010,52500
T0116,C034,2024-01-11,53150,38000
T0120,C058,2024-01-11,29380,67000
T0327,C093,2024-01-11,7190,61000
T0339,C011,2024-01-11,10820,78000
T0341,C075,2024-01-11,34940,67000
T0344,C074,2024-01-11,90600,90000
T0369,C014,2024-01-11,19550,43000
T0374,C050,2024-01-11,10710,50000
T0443,C040,2024-01-11,27070,55000
T0456,C079,2024-01-11,36850,59000
T0244,C033,2024-01-12,52410,50000
T0267,C056,2024-01-12,44730,45000
T0386,C018,2024-01-12,69100,90000
T0402,C051,2024-01-12,85520,48000
T0451,C067,2024-01-12,89090,50000
T0008,C028,2024-01-13,38610,58000
T0021,C004,2024-01-13,7430,75000
T0103,C054,2024-01-13,5700,49000
T0170,C001,2024-01-13,8670,45000
T0334,C075,2024-01-13,10740,53000
T0403,C018,2024-01-13,25920,88000
T0184,C040,2024-01-14,44310,43000
T0190,C029,2024-01-14,60850,55000
T0238,C090,2024-01-14,27280,85000
T0286,C088,2024-01-14,78440,55000
T0325,C086,2024-01-14,11880,66000
T0444,C020,2024-01-14,17070,62000
T0463,C029,2024-01-14,102700,57000
T0038,C031,2024-01-15,15550,92000
T0132,C093,2024-01-15,72010,61000
T0156,C036,2024-01-15,4420,42000
T0305,C039,2024-01-15,15400,78000
T0358,C078,2024-01-15,22220,52000
T0370,C090,2024-01-15,23280,61000
T0002,C056,2024-01-16,10000,44000
T0076,C006,2024-01-16,15220,40000
T0119,C040,2024-01-16,16700,53000
T0176,C072,2024-01-16,3980,60000
T0226,C006,2024-01-16,14280,62000
T0419,C023,2024-01-16,29760,73000
T0476,C094,2024-01-16,21220,48000
T0123,C025,2024-01-17,80880,57000
T0163,C090,2024-01-17,9590,83000
T0210,C049,2024-01-17,24470,80000
T0252,C085,2024-01-17,27380,51000
T0257,C018,2024-01-17,677900,94000
T0361,C072,2024-01-17,81290,63000
T0378,C042,2024-01-17,5470,70000
T0440,C002,2024-01-17,33990,72000
T0441,C011,2024-01-17,25660,56000
T0107,C075,2024-01-18,310330,67000
T0261,C065,2024-01-18,399970,59000
T0295,C045,2024-01-18,12810,38000
T0301,C072,2024-01-18,29400,62000
T0313,C002,2024-01-18,10200,52000
T0381,C063,2024-01-18,8190,58000
T0146,C090,2024-01-19,442850,64000
T0292,C060,2024-01-19,15380,58000
T0340,C097,2024-01-19,23920,71000
T0366,C019,2024-01-19,10940,62000
T0418,C027,2024-01-19,24180,53000
T0422,C058,2024-01-19,17530,55000
T0470,C096,2024-01-19,76600,40000
T0020,C025,2024-01-20,41380,43000
T0158,C039,2024-01-20,57770,52000
T0322,C023,2024-01-20,42020,59000
T0329,C048,2024-01-20,33750,71000
T0490,C094,2024-01-20,4970,64000
